player,cluster,total_runs,strike_rate,total_fours,total_sixes,total_wickets,economy_rate,total_runs_conceded,mu_batting_glicko,phi_batting_glicko,mu_bowling_glicko,phi_bowling_glicko,avg_impact_residual_batter,avg_impact_residual_bowler
A Ashish Reddy,1,280.0,142.85714285714286,16.0,15.0,19.0,8.88888888888889,400.0,1500.0,350.0,1977.1798519994768,106.06531326798266,0.2865162963819272,0.341481588965288
A Badoni,1,634.0,125.54455445544555,46.0,24.0,2.0,8.879999999999999,37.0,1500.0,350.0,2272.560125105413,211.90958080772336,0.2250158175089106,-0.2780563302629663
A Chandila,0,4.0,57.14285714285714,0.0,0.0,11.0,6.282051282051283,245.0,1500.0,350.0,2069.546679319681,116.41230524687936,-0.1943859857804097,0.2489965111423425
A Chopra,2,53.0,70.66666666666667,7.0,0.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.1295163137872907,0.0
A Choudhary,1,25.0,125.0,1.0,1.0,5.0,8.0,144.0,1500.0,350.0,2540.58105662418,163.16609125789662,-0.1105971972445413,0.277089543231799
A Flintoff,1,62.0,108.77192982456141,5.0,2.0,2.0,9.636363636363637,106.0,1500.0,350.0,1182.6620165802397,191.87930060618712,0.2517789371346611,0.5458129195269956
A Kamboj,0,2.0,100.0,0.0,0.0,2.0,10.147058823529411,115.0,1500.0,350.0,1928.1824967800603,221.6143379968148,-0.0152034607871576,0.5111322733774175
A Kumble,1,35.0,71.42857142857143,3.0,0.0,49.0,6.646998982706002,1089.0,1500.0,350.0,2121.7516334569937,85.8077262749188,0.2174172020532527,0.187916760028388
A Manohar,2,231.0,127.62430939226519,21.0,10.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.3090904156577068,0.0
A Mishra,3,381.0,86.5909090909091,31.0,5.0,183.0,7.304878048780488,4193.0,1500.0,350.0,2223.897758259984,90.00113339455004,0.0867804150461353,0.2367235659206298
A Mithun,1,34.0,130.76923076923077,4.0,1.0,8.0,9.173076923076923,477.0,1500.0,350.0,1545.0941072639205,110.80881143201692,0.1168598915770871,0.3769162373918151
A Nehra,3,41.0,65.07936507936508,3.0,1.0,121.0,7.711246200607903,2537.0,1500.0,350.0,1713.1387215460877,83.07552622866044,0.054312943416252,0.302214849880182
A Nortje,1,49.0,96.07843137254902,6.0,0.0,62.0,8.827711941659071,1614.0,1500.0,350.0,1638.704324848897,87.10747460698448,0.2498107432897379,0.2518755642462568
A Raghuvanshi,2,163.0,149.54128440366972,16.0,8.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2917583136608587,0.0
A Singh,0,2.0,20.0,0.0,0.0,31.0,7.888888888888889,639.0,1500.0,350.0,1326.9370284284744,92.57066706133628,0.0160103360278059,0.2610887634190344
A Symonds,1,974.0,124.71190781049937,74.0,41.0,23.0,7.711111111111111,694.0,1500.0,350.0,1702.52749361033,96.0775817097883,0.3078234716979279,0.1881865633937213
A Uniyal,0,4.0,57.14285714285714,0.0,0.0,3.0,10.578947368421051,67.0,1500.0,350.0,1361.1208379535717,188.1457162723039,-0.1293887236777657,0.1071138695121869
A Zampa,0,15.0,60.0,1.0,0.0,30.0,7.934117647058823,562.0,1500.0,350.0,2206.7930016899727,96.47572213499748,-0.0153096521205965,0.2073335024705196
AA Bilakhia,2,69.0,78.4090909090909,5.0,0.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,-0.1364714208116105,0.0
AA Chavan,0,12.0,109.09090909090908,2.0,0.0,8.0,7.976470588235294,339.0,1500.0,350.0,1665.3642295825207,119.05286451931696,-0.0457176327552387,0.3701791648223108
AA Jhunjhunwala,1,217.0,99.54128440366972,19.0,5.0,1.0,8.863636363636363,130.0,1500.0,350.0,1836.6826179938216,158.48107509356893,0.2260494029975118,0.3314107008535158
AB Agarkar,1,179.0,111.87499999999999,13.0,5.0,33.0,8.590243902439024,1174.0,1500.0,350.0,1683.4418247981882,92.09238898366355,0.1156101236038998,0.3083010879060541
AB Barath,2,42.0,97.67441860465115,5.0,1.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2444755246641362,0.0
AB Dinda,3,26.0,52.0,2.0,0.0,82.0,7.940843297671492,2103.0,1500.0,350.0,1903.204114127355,87.90571550902942,0.0153164074660275,0.3171685197510908
AB McDonald,1,123.0,119.41747572815532,9.0,4.0,14.0,8.393617021276597,263.0,1500.0,350.0,1690.6278813351382,122.8572480934152,0.3337715848626015,0.2842542828422417
AB de Villiers,4,5181.0,148.58044164037855,414.0,253.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.3935606165878362,0.0
AC Blizzard,2,120.0,131.86813186813185,21.0,2.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2332722092845149,0.0
AC Gilchrist,4,2069.0,133.05466237942122,239.0,92.0,1.0,0.0,0.0,1500.0,350.0,1612.7291272922616,330.20797545666414,0.2712080904030189,0.1223950182449698
AC Thomas,0,20.0,105.26315789473684,1.0,1.0,16.0,7.63302752293578,416.0,1500.0,350.0,1875.0592480126536,99.45944923794362,-0.1087825217754947,0.326458514201746
AC Voges,1,181.0,126.57342657342659,15.0,3.0,1.0,8.142857142857142,76.0,1500.0,350.0,1848.6252360459844,177.8477593908143,0.1501200623899906,0.168386674610569
AD Hales,2,148.0,124.36974789915966,13.0,6.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2421652112157779,0.0
AD Mascarenhas,1,79.0,100.0,5.0,1.0,19.0,7.064516129032258,365.0,1500.0,350.0,1869.7496763666104,99.76967569784507,0.1884577785920425,0.1815062056668272
AD Mathews,1,724.0,120.86811352253757,44.0,29.0,28.0,8.141263940520446,1095.0,1500.0,350.0,1921.358124561192,91.39721318579264,0.2791163097046997,0.2876871304926439
AD Nath,2,90.0,90.9090909090909,7.0,2.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.132175860353555,0.0
AD Russell,3,2488.0,164.22442244224422,171.0,209.0,125.0,9.116883116883116,2691.0,1500.0,350.0,2110.354656331328,89.85148638638073,0.4476042125278028,0.287698821672474
AF Milne,0,23.0,74.19354838709677,0.0,1.0,9.0,9.373271889400922,339.0,1500.0,350.0,2119.7825331710837,124.64754159482042,-0.0343282003614517,0.411710704920693
AG Murtaza,0,10.0,71.42857142857143,1.0,0.0,12.0,7.182156133828997,322.0,1500.0,350.0,2270.299596388675,118.138578556956,0.045528046823903,0.1627573198817913
AG Paunikar,2,49.0,80.32786885245902,9.0,0.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.0046895348534199,0.0
AJ Finch,1,2092.0,123.34905660377358,214.0,78.0,1.0,9.136363636363637,67.0,1500.0,350.0,1866.2855407694544,188.98068531152492,0.3020530584302242,0.1620548739555436
