batter,avg_impact_residual_batter
A Ashish Reddy,0.28651629638192727
A Badoni,0.2250158175089106
A Chandila,-0.19438598578040978
A Chopra,0.12951631378729078
A Choudhary,-0.11059719724454135
A Dananjaya,0.004287931704351089
A Flintoff,0.25177893713466115
A Kamboj,-0.015203460787157619
A Kumble,0.2174172020532527
A Manohar,0.30909041565770684
A Mishra,0.08678041504613532
A Mithun,0.1168598915770871
A Mukund,-0.2291197648718106
A Nehra,0.054312943416252084
A Nortje,0.24981074328973799
A Raghuvanshi,0.29175831366085875
A Singh,0.01601033602780596
A Symonds,0.3078234716979279
A Tomar,-0.12159409334908489
A Uniyal,-0.12938872367776577
A Zampa,-0.01530965212059655
AA Bilakhia,-0.13647142081161057
AA Chavan,-0.04571763275523877
AA Jhunjhunwala,0.22604940299751183
AA Kulkarni,-0.0585932113311638
AA Noffke,0.13150770139304005
AB Agarkar,0.11561012360389986
AB Barath,0.24447552466413627
AB Dinda,0.015316407466027512
AB McDonald,0.33377158486260156
AB de Villiers,0.3935606165878362
AC Blizzard,0.23327220928451492
AC Gilchrist,0.27120809040301896
AC Thomas,-0.1087825217754947
AC Voges,0.15012006238999062
AD Hales,0.24216521121577794
AD Mascarenhas,0.18845777859204257
AD Mathews,0.2791163097046997
AD Nath,0.13217586035355508
AD Russell,0.4476042125278028
AF Milne,-0.034328200361451774
AG Murtaza,0.045528046823903025
AG Paunikar,0.004689534853419992
AJ Finch,0.30205305843022423
AJ Hosein,0.573319294960117
AJ Turner,0.11719956745837902
AJ Tye,0.19420986092636555
AK Markram,0.3000820450249956
AL Menaria,0.21930670413452868
AM Nayar,0.25294597058341717
AM Rahane,0.25796424253997124
AN Ahmed,0.17330498633932032
AN Ghosh,0.07897677323470138
AP Dole,0.6887126594691343
AP Majumdar,0.17592805618484764
AP Tare,0.25085884833620853
AR Bawne,0.1138321447581337
AR Patel,0.22604539204834082
AS Joseph,-0.13832228011572975
AS Rajpoot,0.022186676392128058
AS Raut,0.2711315459233442
AS Roy,0.12667264545203813
AS Yadav,0.09472578402582371
AT Carey,0.14669612689985972
AT Rayudu,0.29424814311303793
AU Rashid,0.2667212559122543
AUK Pathan,-0.0056868629014952135
Abdul Basith,0.0005538789064909455
Abdul Samad,0.17876458178073004
Abdur Razzak,-0.007222707422493152
Abhishek Sharma,0.23547250541553305
Abishek Porel,0.16912116690869777
Akash Deep,0.14715441633168239
Akash Madhwal,0.20444477844233813
Aman Hakim Khan,0.2608314446214889
Anirudh Singh,0.11176457086796421
Ankit Sharma,0.12027252984311756
Ankit Soni,0.06028891262452772
Anmolpreet Singh,0.28299054534353746
Anuj Rawat,0.34644004563673575
Anureet Singh,0.011240332143581373
Arjun Tendulkar,0.329166295286215
Arshad Khan,0.49979038407925563
Arshad Khan (2),-0.6916368595139165
Arshdeep Singh,0.1918503837717073
Ashutosh Sharma,0.3736163805054902
Atharva Taide,0.2741440411719922
Avesh Khan,-0.2448833436771842
Azhar Mahmood,0.35617610765456986
Azmatullah Omarzai,0.22796537548688509
B Akhil,-0.18833579880576506
B Chipli,0.3056145184238228
B Indrajith,0.04402188773679921
B Kumar,0.06730950406210852
B Laughlin,0.10969462899301712
