bowler,avg_impact_residual_bowler
A Ashish Reddy,0.341481588965288
A Badoni,-0.27805633026296633
A Chandila,0.24899651114234256
A Choudhary,0.277089543231799
A Dananjaya,0.388229144794967
A Flintoff,0.5458129195269956
A Kamboj,0.5111322733774175
A Kumble,0.18791676002838806
A Mishra,0.2367235659206298
A Mithun,0.3769162373918151
A Nehra,0.302214849880182
A Nel,-0.09982712033629076
A Nortje,0.2518755642462568
A Singh,0.2610887634190344
A Symonds,0.18818656339372133
A Uniyal,0.10711386951218695
A Zampa,0.20733350247051965
AA Chavan,0.3701791648223108
AA Jhunjhunwala,0.3314107008535158
AA Kazi,0.4010500270738341
AA Noffke,-0.49046959695124387
AB Agarkar,0.30830108790605415
AB Dinda,0.31716851975109084
AB McDonald,0.28425428284224175
AC Gilchrist,0.12239501824496982
AC Thomas,0.326458514201746
AC Voges,0.16838667461056903
AD Mascarenhas,0.18150620566682724
AD Mathews,0.28768713049264394
AD Russell,0.287698821672474
AF Milne,0.411710704920693
AG Murtaza,0.1627573198817913
AJ Finch,0.16205487395554363
AJ Hosein,0.4571495765969622
AJ Tye,0.24030625267364605
AK Markram,0.39646996931490247
AL Menaria,0.26922048705951684
AM Nayar,0.1663685017026318
AM Rahane,-0.15279223271782177
AM Salvi,0.3790341764897964
AN Ahmed,0.1993434045800972
AP Dole,0.4425545128710627
AR Patel,0.21921212340431173
AS Joseph,0.2885190619474324
AS Rajpoot,0.33404450887162257
AS Raut,0.25237444524245733
AS Roy,0.2657424087189719
AU Rashid,0.3224451782691607
AUK Pathan,0.1282896384793524
Abdul Samad,0.42796454224792585
Abdur Razzak,-0.35240170642847674
Abhishek Sharma,0.2537457260976063
Akash Deep,0.4001953511881639
Akash Madhwal,0.33298633843500125
Akash Singh,0.38302259741195416
Aman Hakim Khan,0.8545636455751753
Anand Rajan,0.2045601631773174
Ankit Sharma,0.24429717740615986
Ankit Soni,0.37115202988377655
Anureet Singh,0.3201234681532114
Arjun Tendulkar,0.6354797727573632
Arshad Khan,0.4378848208697828
Arshad Khan (2),0.42379359874572137
Arshdeep Singh,0.28875901762024475
Atharva Taide,0.013075244762524196
Avesh Khan,0.2711211256170704
Azhar Mahmood,0.3253547432706353
Azmatullah Omarzai,0.3466632523767929
B Akhil,0.2286223795394679
B Chipli,-0.35585345836449805
B Geeves,0.8162420802264857
B Kumar,0.29160153208474965
B Laughlin,0.3742320477348432
B Lee,0.25739750179612997
B Stanlake,0.3900643046710542
BA Bhatt,0.3756103162682772
BA Stokes,0.19168162810620668
BAW Mendis,0.29768629525779433
BB Sran,0.32710112539442765
BCJ Cutting,0.38164249131385486
BE Hendricks,0.24126124306856706
BJ Hodge,0.14493732038797658
BJ Rohrer,0.5713525381848609
BMAJ Mendis,0.3665802941166441
BW Hilfenhaus,0.3231284537110794
Basil Thampi,0.3645157009309305
Bipul Sharma,0.31313267965550257
C Ganapathy,1.164550256273823
C Green,0.29158939718588345
C Munro,0.4590233365536995
C Nanda,0.2282655744503608
C Sakariya,0.2516085683491449
C de Grandhomme,0.2853204569263966
CH Gayle,0.17534537643972578
CH Morris,0.24395256761927422
CJ Anderson,0.2992210063788691
CJ Dala,0.37124372414830153
CJ Green,0.14200542975620234
CJ Jordan,0.295355216966358
CJ McKay,0.3968279895734695
CK Kapugedera,0.29664554267814286
CK Langeveldt,0.2909713222109411
CL White,0.3414040367723935
CR Brathwaite,0.35609755645498026
CR Woakes,0.3334255475882862
CRD Fernando,0.30056840785827577
CV Varun,0.21428832351523505
D Brevis,-0.035667038916339745
D Jansen,0.5621939685502713
D Kalyankrishna,0.5286338779768102
D Pretorius,0.32163870858057736
D Salunkhe,0.3750363820330269
D Wiese,0.3835002608695171
D du Preez,0.6149330883171906
DA Warner,-0.4980706737285915
DAJ Bracewell,0.42409056761714753
DB Ravi Teja,0.5850136795591024
DE Bollinger,0.23015669669398608
DG Nalkande,0.33899916304353106
DJ Bravo,0.2598866571681753
DJ Harris,0.691678460829785
DJ Hooda,0.27183312742436266
DJ Hussey,0.25705212235637775
DJ Mitchell,0.43158485116721723
DJ Muthuswami,0.43955638199204955
DJ Thornely,0.24098260727382578
DJ Willey,0.2611926836092177
DJG Sammy,0.3778104537151815
DJM Short,-0.41555291095451347
DL Chahar,0.2828124032931368
DL Vettori,0.1630772552365759
DNT Zoysa,0.3071413089931523
DP Nannes,0.20927046461691817
DP Vijaykumar,0.17941524097732997
DR Sams,0.36546394657356185
DR Smith,0.2818490494678771
DS Kulkarni,0.2897882805434803
DT Christian,0.2546259310335351
DW Steyn,0.2473277511462517
F du Plessis,-1.0383424382969801
FA Allen,0.2642141233866929
FH Edwards,0.2280657040047486
FY Fazal,0.5642544486974925
Fazalhaq Farooqi,0.1784135698845581
G Coetzee,0.3382805443157636
GB Hogg,0.16407418073404362
GC Viljoen,0.3966934139583638
GD McGrath,0.3288698879574054
GD Phillips,0.06817835496926807
GH Vihari,0.20023516812073186
GHS Garton,0.35076905252081025
GJ Maxwell,0.24254010019332217
GR Napier,0.33424874597036025
GS Sandhu,0.6378123887798478
Gagandeep Singh,0.711840415661906
Gulbadin Naib,-1.1777832479515504
Gurkeerat Singh,0.17307016642496467
Gurnoor Brar,0.8208076449750037
H Sharma,0.4833546763903039
HF Gurney,0.4130569432352405
HH Pandya,0.2772883009034799
HR Shokeen,0.3681606511010892
HV Patel,0.20361707175410237
Harbhajan Singh,0.20444562891920123
Harmeet Singh,0.27837053943666423
Harpreet Brar,0.27222721920627124
Harshit Rana,0.22894429400199753
I Malhotra,-1.4043926669246345
I Sharma,0.31937283131136096
I Udana,0.21225009025179672
IC Pandey,0.35216293889852346
IC Porel,0.5134431568022324
IK Pathan,0.30914390589015667
IS Sodhi,0.1741457374754821
Imran Tahir,0.21793067119169082
Iqbal Abdulla,0.2741229205237056
J Botha,0.13626991423376353
J Little,0.21517571109141437
J Suchith,0.23831725439697876
J Syed Mohammad,0.30461436199280617
J Theron,0.18302619504476345
J Yadav,0.22773632033165347
JA Morkel,0.27522206360627566
JA Richardson,0.41495214044540357
JC Archer,0.2809652628454552
JD Ryder,0.24618909367791944
JD Unadkat,0.3754180462049133
JDP Oram,0.30659603432001353
JDS Neesham,0.4356987692365584
JE Root,0.37052186070531556
JE Taylor,0.21940637771792398
JEC Franklin,0.31750627100097184
JH Kallis,0.27101882792688153
JJ Bumrah,0.23208790168318597
JJ van der Wath,0.6869183275764935
JL Pattinson,0.26169550447632356
JM Kemp,0.06296456587807289
JO Holder,0.27521183154462875
JP Behrendorff,0.39549175001572195
JP Duminy,0.1864649670211358
JP Faulkner,0.26751956311317515
JPR Scantlebury-Searles,0.4131371357310835
JR Hazlewood,0.28911126902983364
JR Hopes,0.39112677836005844
JW Hastings,0.2889424203543076
Jalaj S Saxena,0.3654641241703322
Jaskaran Singh,0.18942597557032423
Joginder Sharma,0.31536575898291125
K Goel,0.2631034160542349
K Gowtham,0.24345726040159302
K Kartikeya,0.28720961125674516
K Khejroliya,0.28747810859611517
K Rabada,0.2795039686188457
K Santokie,0.640515434214395
K Upadhyay,0.6710699076249637
K Yadav,0.0809630708553323
KA Jamieson,0.41645965143988467
KA Maharaj,0.10446327034593744
KA Pollard,0.25173378622106346
KAJ Roach,0.20805281598408953
KC Cariappa,0.4024424391888696
KH Pandya,0.19355887019039242
KJ Abbott,0.42462481210032677
KK Ahmed,0.3587419221896738
KK Cooper,0.1785333622407683
KL Nagarkoti,0.36951694826012405
KM Asif,0.40797130695613215
KMA Paul,0.13705842656035422
KMDN Kulasekara,0.23856571477837296
KP Appanna,0.2753596748433229
KP Pietersen,0.2567453112014002
KR Mayers,0.18628993774037825
KR Sen,0.2779561405105639
KS Williamson,0.7795632515488189
KT Maphaka,0.48586970063271623
KV Sharma,0.27946938346499556
KW Richardson,0.410250127228672
Kamran Khan,0.34188174967106155
Karanveer Singh,0.4290321723886768
Kartik Tyagi,0.3358284493042228
Kuldeep Yadav,0.2396946453751714
L Ablish,0.1281367078644125
L Balaji,0.24422787546073063
L Ngidi,0.21659873702028254
L Wood,0.22778563528246476
LA Carseldine,0.29980009653932077
LB Williams,0.20448071383800862
LE Plunkett,0.042815771654639095
LH Ferguson,0.29930736193248314
LI Meriwala,-0.35664608183240054
LJ Wright,0.2758183471371163
LMP Simmons,0.7201633490424622
LPC Silva,-0.8971662192817741
LR Shukla,0.3442329852630431
LRPL Taylor,0.7122969494925484
LS Livingstone,0.33220026722399304
Lalit Yadav,0.2507981955127642
M Ashwin,0.2381176262288592
M Jansen,0.3869640089926247
M Kartik,0.21094704344695336
M Manhas,0.33396186081410456
M Markande,0.34727327313217987
M Morkel,0.3073817537359461
M Muralitharan,0.15141672383155227
M Ntini,0.41279511527798957
M Pathirana,0.07292258050254549
M Prasidh Krishna,0.29717294075443335
M Shahrukh Khan,0.5920191333856972
M Siddharth,0.3774235971268252
M Theekshana,0.26556699465957145
M Vijay,0.049012600397801344
M de Lange,0.46539897123673285
MA Khote,0.4180582632551396
MA Starc,0.2504192873429977
MA Wood,0.12353119550804026
MB Parmar,0.6405892935429307
MC Henriques,0.2644114506383751
MF Maharoof,0.23809621387705912
MG Bracewell,0.22995542731038815
MG Johnson,0.360309041757815
MG Neser,0.9926743773927719
MJ Clarke,0.19546055747612207
MJ Henry,0.40982838715151726
MJ McClenaghan,0.34834978251271204
MJ Santner,0.16291707945891695
MJ Suthar,-0.28006236847698923
MK Lomror,0.23046119735312845
MK Tiwary,0.029251455923247325
MM Ali,0.17625669361309443
MM Patel,0.3168568652005903
MM Sharma,0.2976560822093797
MN Samuels,0.3363879832672895
MP Stoinis,0.3393495987243589
MP Yadav,0.2859238911888948
MR Marsh,0.2262082509017688
MS Gony,0.3334381770762427
MW Short,0.07902606652800158
Mandeep Singh,-0.04952659319514541
Mashrafe Mortaza,0.3822329991919152
Mayank Dagar,0.2172136882822364
Mohammad Asif,0.4722450661652007
Mohammad Hafeez,0.13211389223640777
Mohammad Nabi,0.2847260311328281
Mohammed Shami,0.31472334610651914
Mohammed Siraj,0.29795362537035375
Mohit Rathee,1.4155276381338016
Mohsin Khan,0.3592348868505173
Monu Kumar,0.3302657924550262
Mujeeb Ur Rahman,0.251151436845518
Mukesh Choudhary,0.3433145857001514
Mukesh Kumar,0.33888783469162054
Mustafizur Rahman,0.2741912419917083
N Burger,0.23870882437464452
N Rana,0.04328116131617004
N Thushara,0.34813621002286155
N Wadhera,0.26861607657833647
NA Saini,0.8678993685985286
NB Singh,0.02400469244572399
ND Doshi,0.5184892394017491
NJ Rimmington,0.17072749648401978
NL McCullum,0.4055897863614384
NLTC Perera,0.3116292079581196
NM Coulter-Nile,0.28262191143310333
NT Ellis,0.31727964445736856
Naman Dhir,0.2085404155103175
Navdeep Saini,0.32557196794379767
Naveen-ul-Haq,0.24377404608953393
Nithish Kumar Reddy,0.3378153204850524
Noor Ahmad,0.20512092315616956
O Thomas,0.07127162632249348
OC McCoy,0.27573320738627427
OF Smith,0.5707698334496834
P Amarnath,0.3470194796591801
P Awana,0.33644709764879555
P Dubey,0.48106501293058196
P Kumar,0.2801946656781528
P Negi,0.235904045374208
P Parameswaran,0.14576607920479434
P Prasanth,1.3108480391596535
P Ray Barman,1.0149711916901896
P Sahu,0.26759160657873365
P Suyal,0.39170326018514573
PC Valthaty,0.24827236323136312
PD Collingwood,0.1702120188675519
PH Solanki,-0.020730123954304465
PJ Cummins,0.29566040607519184
PJ Sangwan,0.3052539531333925
PM Sarvesh Kumar,0.11697149690797753
PP Chawla,0.2450878854342728
PP Ojha,0.2250153858539995
PV Tambe,0.24352816953110962
